#lenk          enk(meV)       PAM  Sxy            Syz            Szx
   2.0586451202   0.6716830833 -1.0  -0.9891598929   0.0000000000   0.0000000000
   2.0728019514   0.9281540873 -1.0  -0.9839100020   0.0000000000   0.0000000000
   2.0869587826   1.1681279623 -1.0  -0.9774541835   0.0000000000   0.0000000000
   2.1011156138   1.3980822272 -1.0  -0.9697225183   0.0000000000   0.0000000000
   2.1152724451   1.6205686212 -1.0  -0.9606495461   0.0000000000   0.0000000000
   2.1294292763   1.8368126325 -1.0  -0.9501747099   0.0000000000   0.0000000000
   2.1435861075   2.0474695568 -1.0  -0.9382426955   0.0000000000   0.0000000000
   2.1577429387   2.2529059226 -1.0  -0.9248036777   0.0000000000   0.0000000000
   2.1718997699   2.4533213910 -1.0  -0.9098135026   0.0000000000   0.0000000000
   2.1860566012   2.6488073684 -1.0  -0.8932338317   0.0000000000   0.0000000000
   2.2002134324   2.8393775347 -1.0  -0.8750322818   0.0000000000   0.0000000000
   2.2143702636   3.0249849299 -1.0  -0.8551825932   0.0000000000   0.0000000000
   2.2285270948   3.2055322985 -1.0  -0.8336648499   0.0000000000   0.0000000000
   2.2426839261   3.3808790017 -1.0  -0.8104657743   0.0000000000   0.0000000000
   2.2568407573   3.5508462184 -1.0  -0.7855791034   0.0000000000   0.0000000000
   2.2709975885   3.7152213703 -1.0  -0.7590060437   0.0000000000   0.0000000000
   2.2851544197   3.8737622841 -1.0  -0.7307557865   0.0000000000   0.0000000000
   2.2993112509   4.0262013665 -1.0  -0.7008460542   0.0000000000   0.0000000000
   2.3134680822   4.1722499297 -1.0  -0.6693036344   0.0000000000   0.0000000000
   2.3276249134   4.3116027149 -1.0  -0.6361648506   0.0000000000   0.0000000000
   2.3417817446   4.4439426049 -1.0  -0.6014759151   0.0000000000   0.0000000000
   2.3559385758   4.5689454792 -1.0  -0.5652931118   0.0000000000   0.0000000000
   2.3700954071   4.6862851373 -1.0  -0.5276827620   0.0000000000   0.0000000000
   2.3842522383   4.7956382008 -1.0  -0.4887209457   0.0000000000   0.0000000000
   2.3984090695   4.8966889002 -1.0  -0.4484929667   0.0000000000   0.0000000000
   2.4125659007   4.9891336470 -1.0  -0.4070925761   0.0000000000   0.0000000000
   2.4267227319   5.0726853058 -1.0  -0.3646209914   0.0000000000   0.0000000000
   2.4408795632   5.1470770896 -1.0  -0.3211857710   0.0000000000   0.0000000000
   2.4550363944   5.2120660235 -1.0  -0.2768996178   0.0000000000   0.0000000000
   2.4691932256   5.2674359425 -1.0  -0.2318791962   0.0000000000   0.0000000000
   2.4833500568   5.3130000119 -1.0  -0.1862440373   0.0000000000   0.0000000000
   2.4975068881   5.3486027772 -1.0  -0.1401156009   0.0000000000   0.0000000000
   2.5116637193   5.3741217698 -1.0  -0.0936165320   0.0000000000   0.0000000000
   2.5258205505   5.3894687004 -1.0  -0.0468701285   0.0000000000   0.0000000000
   2.5399773817   5.3945902779  0.0   0.0000000000   0.0000000000   0.0000000000
   2.5399773817   5.3945902779  0.0   0.0000000000   0.0000000000   0.0000000000
   2.5586339873   5.4204928936  0.0   0.0000000000  -0.0105577520  -0.0060955204
   2.5772905928   5.4971316320  0.0   0.0000000000  -0.0211188100  -0.0121929494
   2.5959471983   5.6214259067  0.0  -0.0011340934  -0.0316740417  -0.0182870146
   2.6146038039   5.7886182254  0.0  -0.0027425833  -0.0421866756  -0.0243564860
   2.6332604094   5.9927032688  0.0  -0.0054987570  -0.0525708462  -0.0303517890
   2.6519170150   6.2268223404  0.0  -0.0098177418  -0.0626587925  -0.0361760668
   2.6705736205   6.4835212361  0.0  -0.0162206247  -0.0721489709  -0.0416552231
   2.6892302261   6.7548098161  0.0  -0.0253801073  -0.0805241003  -0.0464906056
   2.7078868316   7.0319918612  0.0  -0.0381865308  -0.0869278276  -0.0501877984
   2.7265434371   7.3052580843  0.0  -0.0558502556  -0.0900059144  -0.0519649318
   2.7452000427   7.5631037535  0.0  -0.0800813966  -0.0877979588  -0.0506901672
   2.7638566482   7.7918746676  0.0  -0.1134434105  -0.0779954675  -0.0450306954
   2.7825132538   7.9763194842  0.0  -0.1599536721  -0.0592028480  -0.0341807709
   2.8011698593   8.1025641637  0.0  -0.2251589516  -0.0333028821  -0.0192274185
   2.8198264649   8.1636321392  0.0  -0.3123458059  -0.0062930909  -0.0036333086
   2.8384830704   8.1638998811  0.0  -0.4131222573   0.0156446434   0.0090324476
   2.8571396759   8.1181045736  0.0  -0.5058405904   0.0305693809   0.0176492481
   2.8757962815   8.0453272685  0.0  -0.5730506717   0.0397200676   0.0229323990
   2.8944528870   7.9626034621  0.0  -0.6133375540   0.0446240167   0.0257636951
   2.9131094926   7.8820988952  0.0  -0.6341428979   0.0463157381   0.0267404109
   2.9317660981   7.8114821609  0.0  -0.6429613492   0.0455321275   0.0262879931
   2.9504227037   7.7552374132  0.0  -0.6447178839   0.0428431483   0.0247355104
   2.9690793092   7.7157398051  0.0  -0.6421551933   0.0386935571   0.0223397430
   2.9877359147   7.6939342633  0.0  -0.6366534095   0.0334297628   0.0193006900
   3.0063925203   7.6897450663  0.0  -0.6288161806   0.0273240120   0.0157755333
   3.0250491258   7.7023375851  0.0  -0.6188170430   0.0205923737   0.0118890202
   3.0437057314   7.7303032426  0.0  -0.6065973537   0.0134045096   0.0077391048
   3.0623623369   7.7718019233  0.0  -0.5919812763   0.0058861311   0.0033983668
   3.0810189424   7.8246750868  0.0  -0.5747396885  -0.0018820462  -0.0010865927
   3.0996755480   7.8865322571  0.0  -0.5546097048  -0.0098610548  -0.0056932759
   3.1183321535   7.9548093471  0.0  -0.5312575733  -0.0180325276  -0.0104110786
   3.1369887591   8.0267972700  0.0  -0.5041571793  -0.0263384721  -0.0152065187
   3.1556453646   8.0996423574  0.0  -0.4723439781  -0.0345528425  -0.0199490886
   3.1743019702   8.1703254850  0.0  -0.4340024510  -0.0420534034  -0.0242795405
   3.1929585757   8.2356339935  0.0  -0.3858931109  -0.0474878598  -0.0274171265
   3.2116151812   8.2921513840  0.0  -0.3228634159  -0.0484527284  -0.0279741947
   3.2302717868   8.3363163345  0.0  -0.2384398841  -0.0416793377  -0.0240635765
   3.2489283923   8.3646705962  0.0  -0.1287074432  -0.0248044916  -0.0143208799
   3.2675849979   8.3744813754  0.0   0.0000000000   0.0000000000   0.0000000000
   3.2675849979   8.3744813754  0.0   0.0000000000   0.0000000000   0.0000000000
   3.2783563940   8.3751861722  0.0   0.0000000000   0.0000000000   0.0000000000
   3.2891277901   8.3773007622  0.0   0.0000000000  -0.0010205154   0.0017689132
   3.2998991863   8.3808258040  0.0   0.0000000000  -0.0015624216   0.0027076346
   3.3106705824   8.3857625855  0.0   0.0000000000  -0.0021412297   0.0037103558
   3.3214419785   8.3921132778  0.0   0.0000000000  -0.0027679955   0.0047962934
   3.3322133747   8.3998812318  0.0   0.0000000000  -0.0034527246   0.0059829638
   3.3429847708   8.4090712648  0.0   0.0000000000  -0.0042039941   0.0072859722
   3.3537561670   8.4196898807  0.0   0.0000000000  -0.0050251137   0.0087208885
   3.3645275631   8.3954962255  0.0   0.0000000000  -0.1701423950   0.2947034586
   3.3752989592   8.3497299681  0.0   0.0000000000  -0.1838412813   0.3184256794
   3.3860703554   8.2993357731  0.0   0.0000000000  -0.1959517085   0.3394003519
   3.3968417515   8.2444459168  0.0   0.0000000000  -0.2063709996   0.3574465727
   3.4076131476   8.1852355420  0.0   0.0000000000  -0.2150222492   0.3724306988
   3.4183845438   8.1219271324  0.0   0.0000000000  -0.2218587039   0.3842716214
   3.4291559399   8.0547938172  0.0   0.0000000000  -0.2268656866   0.3929438671
   3.4399273360   7.9841613059  0.0   0.0000000000  -0.2300606162   0.3984775815
   3.4506987322   7.9104083448  0.0   0.0000000000  -0.2314911338   0.4009552682
   3.4614701283   7.8339656876  0.0   0.0000000000  -0.2312315213   0.4005055790
   3.4722415245   7.7553136572  0.0   0.0000000000  -0.2293777777   0.3972947845
   3.4830129206   7.6749784414  0.0   0.0000000000  -0.2260418411   0.3915167638
