#    1    819
# O P Ag Ba total 
20.9815   0.6456   0.1154   0.0591   0.089   0.9091
21.1883   0.8459   0.1149   0.0546   0.09   1.1053
21.3951   1.1211   0.124   0.0541   0.0987   1.3979
21.6019   1.4448   0.1402   0.0552   0.1125   1.7527
21.8087   1.7837   0.16   0.0564   0.1276   2.1276
22.0155   2.0821   0.1772   0.0566   0.1392   2.4551
22.2223   2.2528   0.184   0.0548   0.1422   2.6338
22.4291   2.2173   0.1754   0.0503   0.1334   2.5764
22.6359   1.9799   0.1547   0.0445   0.1155   2.2945
22.8427   1.6636   0.1326   0.0407   0.0969   1.9338
23.0495   1.4495   0.1215   0.0417   0.087   1.6997
23.2563   1.46   0.1271   0.0485   0.0906   1.7262
23.4631   1.6881   0.1461   0.0594   0.1049   1.9985
23.6699   2.0164   0.1689   0.0712   0.1211   2.3777
23.8767   2.2824   0.1844   0.0798   0.1299   2.6764
24.0835   2.3381   0.1835   0.0807   0.125   2.7273
24.2903   2.1051   0.1617   0.0716   0.1058   2.4442
24.4971   1.6246   0.123   0.0542   0.0773   1.8792
24.7039   1.0518   0.0789   0.0341   0.0479   1.2128
24.9107   0.5616   0.0419   0.0176   0.0246   0.6457
25.1175   0.2442   0.0181   0.0074   0.0104   0.2801
25.3243   0.0857   0.0064   0.0025   0.0035   0.0981
25.5311   0.0241   0.0018   0.0007   0.001   0.0276
25.7379   0.0054   0.0004   0.0001   0.0002   0.0062
25.9447   0.001   0.0001   0.0   0.0   0.0011
26.1515   0.0001   0.0   0.0   0.0   0.0002
26.3583   0.0   0.0   0.0   0.0   0.0
26.5651   0.0   0.0   0.0   0.0   0.0
26.7719   0.0   0.0   0.0   0.0   0.0
26.9787   0.0   0.0   0.0   0.0   0.0
27.1855   0.0   0.0   0.0   0.0   0.0
27.3923   0.0   0.0   0.0   0.0   0.0
27.5991   0.0   0.0   0.0   0.0   0.0
27.8059   0.0   0.0   0.0   0.0   0.0
28.0127   0.0   0.0   0.0   0.0   0.0
28.2195   0.0   0.0   0.0   0.0   0.0
28.4263   0.0   0.0   0.0   0.0   0.0
28.6331   0.0   0.0   0.0   0.0   0.0
28.8399   0.0   0.0   0.0   0.0   0.0
29.0467   0.0   0.0   0.0   0.0   0.0
29.2535   0.0   0.0   0.0   0.0   0.0
29.4603   0.0   0.0   0.0   0.0   0.0
29.6671   0.0   0.0   0.0   0.0   0.0
29.8739   0.0   0.0   0.0   0.0   0.0
30.0807   0.0   0.0   0.0   0.0   0.0
30.2875   0.0   0.0   0.0   0.0   0.0
30.4943   0.0   0.0   0.0   0.0   0.0
30.7011   0.0   0.0   0.0   0.0   0.0
30.9079   0.0   0.0   0.0   0.0   0.0
31.1147   0.0   0.0   0.0   0.0   0.0
31.3215   0.0   0.0   0.0   0.0   0.0
31.5283   0.0   0.0   0.0   0.0   0.0
31.7351   0.0002   0.0   0.0   0.0   0.0002
31.9419   0.0014   0.0   0.0   0.0   0.0014
32.1487   0.0076   0.0003   0.0   0.0   0.0079
32.3555   0.0333   0.0011   0.0001   0.0002   0.0347
32.5623   0.116   0.0039   0.0003   0.0005   0.1208
32.7691   0.3199   0.0108   0.0009   0.0014   0.3331
32.9759   0.7033   0.024   0.002   0.0031   0.7325
33.1827   1.2435   0.0433   0.0036   0.0055   1.2958
33.3895   1.796   0.0654   0.0052   0.0077   1.8742
33.5963   2.1767   0.0862   0.0063   0.0089   2.278
33.8031   2.3069   0.1045   0.0065   0.0089   2.4267
34.0099   2.2491   0.1211   0.006   0.0081   2.3844
34.2167   2.1079   0.1356   0.0053   0.0074   2.2561
34.4235   1.957   0.1474   0.0046   0.007   2.1159
34.6303   1.8666   0.1615   0.0041   0.0071   2.0393
34.8371   1.9167   0.1869   0.004   0.0079   2.1154
35.0439   2.1253   0.2261   0.0043   0.0092   2.3648
35.2507   2.4015   0.2687   0.0048   0.0106   2.6856
35.4575   2.6146   0.3004   0.0052   0.0113   2.9314
35.6643   2.6942   0.3158   0.0055   0.0111   3.0266
35.8711   2.6563   0.3218   0.0058   0.0103   2.9941
36.0779   2.5768   0.3312   0.0061   0.0094   2.9235
36.2847   2.5518   0.355   0.0065   0.009   2.9223
36.4915   2.6272   0.3932   0.0071   0.009   3.0365
36.6983   2.7522   0.4316   0.0074   0.0091   3.2002
36.9051   2.8282   0.4516   0.0072   0.0089   3.2959
37.1119   2.8141   0.4447   0.0065   0.0082   3.2736
37.3187   2.7818   0.4203   0.0057   0.0074   3.2151
37.5255   2.8682   0.3992   0.0052   0.007   3.2795
37.7323   3.1253   0.3951   0.0052   0.0072   3.5328
37.9391   3.3833   0.396   0.0055   0.0078   3.7925
38.1459   3.3275   0.3705   0.0055   0.0077   3.7112
38.3527   2.7858   0.3005   0.0047   0.0066   3.0976
38.5595   1.9173   0.2022   0.0033   0.0046   2.1273
38.7663   1.0716   0.1107   0.0019   0.0026   1.1867
38.9731   0.5043   0.05   0.001   0.0012   0.5565
39.1799   0.2648   0.0225   0.0007   0.0006   0.2886
39.3867   0.291   0.0192   0.0012   0.0006   0.312
39.5935   0.5232   0.0322   0.0025   0.0011   0.559
39.8003   0.9253   0.0576   0.0046   0.0018   0.9893
40.0071   1.4461   0.0914   0.0071   0.0028   1.5475
40.2139   1.994   0.1274   0.0095   0.0037   2.1346
40.4207   2.4459   0.1569   0.0111   0.0043   2.6181
40.6275   2.6724   0.171   0.0114   0.0044   2.8592
40.8343   2.5733   0.1638   0.0104   0.0042   2.7517
41.0411   2.1437   0.1364   0.0082   0.0034   2.2918
41.2479   1.5261   0.0993   0.0056   0.0025   1.6336
41.4547   0.9639   0.0708   0.0034   0.0016   1.0398
41.6615   0.6714   0.0693   0.0023   0.0013   0.7443
41.8683   0.7384   0.1052   0.0026   0.0015   0.8478
42.0751   1.1176   0.1757   0.0042   0.0024   1.2998
42.2819   1.6571   0.2623   0.0066   0.0035   1.9294
42.4887   2.1536   0.3371   0.0089   0.0046   2.5043
42.6955   2.429   0.3759   0.0106   0.0053   2.8208
42.9023   2.3994   0.3687   0.0109   0.0053   2.7843
43.1091   2.0925   0.321   0.01   0.0048   2.4282
43.3159   1.6145   0.2486   0.008   0.0038   1.8748
43.5227   1.0991   0.1707   0.0056   0.0027   1.2781
43.7295   0.6684   0.106   0.0035   0.0017   0.7795
43.9363   0.4135   0.0702   0.0019   0.0012   0.4868
44.1431   0.3951   0.0763   0.0012   0.0013   0.474
44.3499   0.6436   0.1327   0.0014   0.0023   0.78
44.5567   1.1308   0.2362   0.0023   0.0042   1.3735
44.7635   1.7339   0.364   0.0037   0.0063   2.1078
44.9703   2.2592   0.4782   0.005   0.008   2.7503
45.1771   2.5432   0.5461   0.006   0.0087   3.1039
45.3839   2.5457   0.5591   0.0065   0.0085   3.1197
45.5907   2.368   0.5383   0.0069   0.0079   2.9211
45.7975   2.1931   0.5232   0.0075   0.0077   2.7316
46.0043   2.162   0.5426   0.0087   0.0083   2.7216
46.2111   2.2627   0.5882   0.0099   0.0091   2.87
46.4179   2.3513   0.6209   0.0104   0.0096   2.9922
46.6247   2.2875   0.6055   0.0099   0.0092   2.9121
46.8315   2.0309   0.535   0.0084   0.0079   2.5822
47.0383   1.6298   0.4256   0.0065   0.0062   2.068
47.2451   1.1689   0.3021   0.0045   0.0044   1.4799
47.4519   0.7357   0.1883   0.0028   0.0027   0.9296
47.6587   0.3975   0.1009   0.0015   0.0015   0.5014
47.8655   0.1805   0.0456   0.0007   0.0007   0.2274
48.0723   0.0677   0.017   0.0002   0.0003   0.0852
48.2791   0.0207   0.0052   0.0001   0.0001   0.026
48.4859   0.0051   0.0013   0.0   0.0   0.0064
48.6927   0.001   0.0003   0.0   0.0   0.0013
48.8995   0.0002   0.0   0.0   0.0   0.0002
49.1063   0.0   0.0   0.0   0.0   0.0
49.3131   0.0   0.0   0.0   0.0   0.0
49.5199   0.0   0.0   0.0   0.0   0.0
49.7267   0.0   0.0   0.0   0.0   0.0
49.9335   0.0   0.0   0.0   0.0   0.0
50.1403   0.0   0.0   0.0   0.0   0.0
50.3471   0.0   0.0   0.0   0.0   0.0
50.5539   0.0   0.0   0.0   0.0   0.0
50.7607   0.0   0.0   0.0   0.0   0.0
50.9675   0.0   0.0   0.0   0.0   0.0
51.1743   0.0   0.0   0.0   0.0   0.0
51.3811   0.0   0.0   0.0   0.0   0.0
51.5879   0.0   0.0   0.0   0.0   0.0
51.7947   0.0   0.0   0.0   0.0   0.0
52.0015   0.0   0.0   0.0   0.0   0.0001
52.2083   0.0002   0.0002   0.0   0.0   0.0004
52.4151   0.0012   0.0013   0.0   0.0   0.0026
52.6219   0.0058   0.0062   0.0   0.0   0.0121
52.8287   0.0223   0.0238   0.0   0.0   0.0462
53.0355   0.0703   0.075   0.0001   0.0   0.1455
53.2423   0.1835   0.1956   0.0003   0.0001   0.3795
53.4491   0.3989   0.4247   0.0007   0.0002   0.8245
53.6559   0.7263   0.7722   0.0012   0.0004   1.5
53.8627   1.1112   1.1798   0.0018   0.0006   2.2933
54.0695   1.4315   1.5177   0.0023   0.0007   2.9522
54.2763   1.5542   1.6454   0.0024   0.0007   3.2028
54.4831   1.422   1.5033   0.0022   0.0007   2.9282
54.6899   1.0954   1.1564   0.0017   0.0006   2.254
54.8967   0.7093   0.7479   0.0011   0.0004   1.4586
55.1035   0.3852   0.4057   0.0006   0.0002   0.7917
55.3103   0.1749   0.184   0.0003   0.0001   0.3592
55.5171   0.0661   0.0694   0.0001   0.0   0.1356
55.7239   0.0206   0.0217   0.0   0.0   0.0423
55.9307   0.0053   0.0056   0.0   0.0   0.0109
56.1375   0.0011   0.0012   0.0   0.0   0.0023
56.3443   0.0004   0.0003   0.0   0.0   0.0007
56.5511   0.0017   0.0007   0.0   0.0   0.0024
56.7579   0.0087   0.0036   0.0   0.0   0.0123
56.9647   0.0372   0.015   0.0   0.0   0.0523
57.1715   0.1287   0.05   0.0001   0.0001   0.1789
